topk,tested_nodes,fault_coverage(%),node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
1225,245,59.59,85.31,0.0000,0.0000,36,198
1230,246,57.11,81.71,0.0000,0.0000,45,211
1235,247,58.50,85.43,0.0000,0.0000,36,205
1240,248,59.68,85.89,0.0000,0.0000,35,200
1245,249,57.23,83.94,0.0000,0.0000,40,213
1250,250,57.60,84.40,0.0000,0.0000,39,212
1255,251,58.17,84.06,0.0000,0.0000,40,210
1260,252,55.56,82.54,0.0000,0.0000,44,224
1265,253,58.30,83.79,0.0000,0.0000,41,211
1270,254,60.04,84.25,0.0000,0.0000,40,203
1275,255,59.41,85.49,0.0000,0.0000,37,207
1280,256,58.98,83.20,0.0000,0.0000,43,210
1285,257,59.53,84.05,0.0000,0.0000,41,208
1290,258,59.50,84.50,0.0000,0.0000,40,209
1295,259,57.53,82.63,0.0000,0.0000,45,220
1300,260,58.46,84.62,0.0000,0.0000,40,216
1305,261,60.15,82.38,0.0000,0.0000,46,208
1310,262,58.78,83.97,0.0000,0.0000,42,216
1315,263,58.75,83.65,0.0000,0.0000,43,217
1320,264,62.12,87.50,0.0000,0.0000,33,200
1325,265,56.23,81.89,0.0000,0.0000,48,232
1330,266,57.71,81.95,0.0000,0.0000,48,225
1335,267,59.93,82.77,0.0000,0.0000,46,214
1340,268,56.72,82.84,0.0000,0.0000,46,232
1345,269,59.67,84.01,0.0000,0.0000,43,217
1350,270,56.85,82.96,0.0000,0.0000,46,233
1355,271,56.46,82.29,0.0000,0.0000,48,236
1360,272,56.62,82.35,0.0000,0.0000,48,236
1365,273,55.86,79.85,0.0000,0.0000,55,241
1370,274,57.48,82.85,0.0000,0.0000,47,233
1375,275,56.36,82.55,0.0000,0.0000,48,240
1380,276,58.15,83.33,0.0000,0.0000,46,231
1385,277,58.48,83.03,0.0000,0.0000,47,230
1390,278,59.35,84.17,0.0000,0.0000,44,226
1395,279,58.60,84.59,0.0000,0.0000,43,231
1400,280,59.11,83.57,0.0000,0.0000,46,229
1405,281,60.85,85.41,0.0000,0.0000,41,220
1410,282,58.33,84.04,0.0000,0.0000,45,235
1415,283,57.77,83.75,0.0000,0.0000,46,239
1420,284,57.39,81.69,0.0000,0.0000,52,242
1425,285,61.23,85.96,0.0000,0.0000,40,221
1430,286,59.27,84.27,0.0000,0.0000,45,233
1435,287,60.80,85.71,0.0000,0.0000,41,225
1440,288,57.64,83.33,0.0000,0.0000,48,244
1445,289,56.75,83.74,0.0000,0.0000,47,250
1450,290,59.83,84.48,0.0000,0.0000,45,233
1455,291,57.90,83.51,0.0000,0.0000,48,245
1460,292,62.16,85.96,0.0000,0.0000,41,221
1465,293,58.53,84.30,0.0000,0.0000,46,243
1470,294,57.99,83.67,0.0000,0.0000,48,247
1475,295,57.12,82.03,0.0000,0.0000,53,253
1480,296,58.28,83.78,0.0000,0.0000,48,247
1485,297,60.61,86.87,0.0000,0.0000,39,234
1490,298,59.40,84.56,0.0000,0.0000,46,242
1495,299,58.86,83.61,0.0000,0.0000,49,246
1500,300,59.33,84.67,0.0000,0.0000,46,244
1505,301,59.80,85.05,0.0000,0.0000,45,242
1510,302,56.79,82.45,0.0000,0.0000,53,261
1515,303,57.92,85.48,0.0000,0.0000,44,255
1520,304,59.54,85.86,0.0000,0.0000,43,246
1525,305,56.89,83.61,0.0000,0.0000,50,263
1530,306,59.31,84.64,0.0000,0.0000,47,249
1535,307,57.82,83.06,0.0000,0.0000,52,259
1540,308,57.63,83.77,0.0000,0.0000,50,261
1545,309,55.66,81.55,0.0000,0.0000,57,274
1550,310,57.10,83.87,0.0000,0.0000,50,266
1555,311,56.59,82.96,0.0000,0.0000,53,270
1560,312,57.53,83.65,0.0000,0.0000,51,265
1565,313,59.27,85.30,0.0000,0.0000,46,255
1570,314,57.01,82.80,0.0000,0.0000,54,270
1575,315,57.78,82.86,0.0000,0.0000,54,266
1580,316,57.12,82.91,0.0000,0.0000,54,271
1585,317,61.99,86.75,0.0000,0.0000,42,241
1590,318,58.49,83.65,0.0000,0.0000,52,264
1595,319,56.90,82.45,0.0000,0.0000,56,275
1600,320,56.88,83.12,0.0000,0.0000,54,276
1605,321,58.41,84.42,0.0000,0.0000,50,267
1610,322,56.21,82.61,0.0000,0.0000,56,282
1615,323,58.67,83.59,0.0000,0.0000,53,267
1620,324,57.25,83.02,0.0000,0.0000,55,277
1625,325,56.62,83.38,0.0000,0.0000,54,282
1630,326,56.60,81.60,0.0000,0.0000,60,283
1635,327,58.56,84.40,0.0000,0.0000,51,271
1640,328,59.91,84.45,0.0000,0.0000,51,263
1645,329,60.33,85.71,0.0000,0.0000,47,261
1650,330,58.64,84.24,0.0000,0.0000,52,273
1655,331,56.95,82.78,0.0000,0.0000,57,285
1660,332,56.63,83.13,0.0000,0.0000,56,288
1665,333,56.91,83.48,0.0000,0.0000,55,287
1670,334,57.93,82.34,0.0000,0.0000,59,281
1675,335,59.25,84.18,0.0000,0.0000,53,273
1680,336,57.44,82.74,0.0000,0.0000,58,286
1685,337,54.60,79.53,0.0000,0.0000,69,306
1690,338,57.40,83.14,0.0000,0.0000,57,288
1695,339,56.05,80.53,0.0000,0.0000,66,298
1700,340,56.91,82.35,0.0000,0.0000,60,293
1705,341,58.06,85.63,0.0000,0.0000,49,286
1710,342,58.63,83.63,0.0000,0.0000,56,283
1715,343,56.85,82.22,0.0000,0.0000,61,296
1720,344,58.43,83.14,0.0000,0.0000,58,286
1725,345,55.22,80.58,0.0000,0.0000,67,309
1730,346,56.65,82.95,0.0000,0.0000,59,300
1735,347,56.77,82.42,0.0000,0.0000,61,300
1740,348,56.90,81.61,0.0000,0.0000,64,300
1745,349,58.88,83.95,0.0000,0.0000,56,287
1750,350,55.00,81.14,0.0000,0.0000,66,315
1755,351,58.12,83.48,0.0000,0.0000,58,294
1760,352,54.69,80.40,0.0000,0.0000,69,319
1765,353,56.66,82.15,0.0000,0.0000,63,306
